Number,A0,A1,A2,A3
0,4090,5320,1870,4139
1,4080,5320,1870,4139
2,4080,5320,1880,4130
3,4080,5320,1870,4130
4,4140,5320,1870,4130
5,4140,5320,1870,4140
6,4100,5320,1870,4140
7,4130,5320,1870,4130
8,4070,5320,1870,4139
9,4150,5320,1870,4130
10,4140,5330,1870,4140
11,4110,5330,1870,4140
12,4120,5320,1870,4150
13,4100,5320,1870,4140
14,4080,5330,1870,4130
15,4120,5340,1883,4140
16,4100,5340,1883,4150
17,4110,5350,1883,4150
18,4130,5350,1883,4150
19,4140,5350,1883,4150
20,4090,5340,1870,4140
21,4120,5330,1880,4140
22,4060,5330,1890,4150
23,4100,5330,1880,4150
24,4090,5330,1880,4150
25,4070,5330,1880,4140
26,4070,5330,1870,4140
27,4110,5330,1870,4140
28,4080,5320,1890,4130
29,4060,5320,1890,4130
30,4080,5330,1890,4130
31,4080,5330,1880,4140
32,4120,5330,1880,4150
33,4090,5330,1880,4150
34,4100,5330,1870,4150
35,4130,5340,1883,4150
36,4150,5330,1883,4140
37,4090,5330,1870,4140
38,4090,5320,1870,4150
39,4070,5320,1880,4150
40,4070,5330,1890,4150
41,4070,5340,1900,4139
42,4070,5340,1900,4139
43,4110,5330,1890,4139
44,4130,5330,1900,4139
45,4070,5320,1890,4139
46,4070,5320,1890,4150
47,4110,5320,1880,4150
48,4130,5330,1880,4140
49,4090,5340,1880,4140
50,4110,5350,1880,4140
51,4100,5350,1880,4130
52,4080,5340,1870,4130
53,4060,5340,1870,4150
54,4080,5340,1870,4150
55,4070,5320,1880,4140
56,4110,5330,1880,4150
57,4120,5330,1890,4150
58,4090,5330,1890,4139
59,4110,5340,1890,4139
60,4070,5330,1890,4138
61,4130,5320,1890,4138
62,4090,5320,1890,4138
63,4090,5320,1890,4138
64,4070,5330,1890,4138
65,4120,5330,1900,4138
66,4060,5330,1890,4150
67,4070,5340,1890,4150
68,4130,5360,1890,4140
69,4120,5360,1880,4130
70,4070,5360,1880,4140
71,4110,5340,1880,4140
72,4120,5340,1880,4150
73,4140,5340,1880,4140
74,4100,5350,1880,4140
75,4140,5360,1870,4130
76,4100,5350,1870,4140
77,4100,5340,1883,4130
78,4110,5350,1880,4140
79,4090,5340,1890,4130
80,4090,5330,1890,4140
81,4070,5330,1890,4140
82,4070,5330,1890,4130
83,4110,5340,1880,4130
84,4070,5330,1880,4130
85,4130,5330,1900,4140
86,4090,5330,1890,4140
87,4080,5330,1890,4140
88,4090,5340,1890,4140
89,4070,5340,1890,4130
90,4070,5350,1890,4130
91,4080,5340,1890,4130
92,4110,5340,1880,4130
93,4120,5340,1890,4140
94,4120,5360,1890,4140
95,4080,5350,1890,4130
96,4120,5340,1890,4130
97,4120,5340,1890,4140
98,4120,5340,1890,4140
99,4070,5330,1890,4140
100,4070,5320,1890,4140
101,4070,5320,1890,4140
102,4080,5320,1890,4150
103,4090,5320,1900,4140
104,4090,5320,1890,4140
105,4130,5350,1890,4130
106,4090,5350,1890,4130
107,4130,5340,1890,4140
108,4090,5330,1890,4140
109,4090,5330,1890,4140
110,4090,5320,1880,4150
111,4090,5320,1880,4140
112,4090,5320,1870,4140
113,4110,5330,1890,4140
