Number,A0,A1,A2,A3
0,3320,3130,4010,4020
1,3320,3140,4030,4020
2,3310,3160,4030,4020
3,3330,3150,4020,4020
4,3320,3160,4020,4010
5,3320,3150,4030,4010
6,3330,3130,4040,4010
7,3320,3130,4060,4010
8,3320,3140,4060,4000
9,3320,3130,4060,4000
10,3330,3130,4060,4000
11,3320,3130,4050,4000
12,3310,3140,4050,4000
13,3320,3130,4060,4000
14,3320,3140,4070,4000
15,3320,3130,4070,4000
16,3320,3140,4080,4000
17,3310,3150,4100,4000
18,3310,3140,4090,4000
19,3310,3120,4090,4010
20,3310,3130,4100,4010
21,3310,3130,4100,4010
22,3320,3130,4090,4010
23,3320,3130,4090,4010
24,3330,3130,4090,4010
25,3310,3130,4090,4010
26,3300,3120,4080,4010
27,3290,3120,4110,4010
28,3300,3120,4120,4010
29,3300,3120,4140,4010
30,3320,3120,4150,4010
31,3310,3130,4140,4010
32,3310,3120,4130,4010
33,3310,3110,4120,4010
34,3310,3120,4120,4020
35,3310,3110,4110,4020
36,3310,3110,4110,4020
37,3300,3110,4270,4020
38,3300,3110,4390,4020
39,3310,3120,4039,4020
40,3310,3120,4037,4020
41,3330,3110,4035,4000
42,3320,3120,4033,4000
43,3300,3120,4031,4010
44,3310,3110,4028,4010
45,3310,3110,4028,4010
46,3310,3110,4028,4010
47,3310,3120,4028,4020
48,3310,3120,4028,4020
49,3320,3130,4027,4020
50,3320,3120,4027,4010
51,3320,3120,4027,4010
52,3320,3130,4027,4010
53,3310,3120,4027,4000
54,3310,3110,4026,3990
55,3310,3110,4026,4000
56,3310,3110,4026,4010
57,3320,3130,4026,4010
58,3310,3120,4026,4010
59,3310,3140,4026,4000
60,3320,3130,4026,4000
61,3320,3140,4025,4000
62,3310,3120,4025,4000
63,3320,3120,4025,4000
64,3320,3130,4024,4000
65,3320,3130,4300,4000
66,3310,3140,4240,4010
67,3320,3130,4200,4010
68,3320,3120,4160,4010
69,3300,3120,4130,4010
70,3310,3120,4100,4010
71,3310,3110,4050,4010
72,3310,3110,4140,4010
73,3310,3130,4090,4010
74,3310,3130,4050,4010
75,3310,3120,4040,4010
76,3310,3140,4040,4010
77,3320,3130,4060,4010
78,3320,3130,4060,4010
79,3320,3130,4110,4010
80,3320,3120,4150,4010
81,3300,3130,4200,4010
82,3320,3130,4230,4010
83,3310,3120,4250,4010
84,3320,3140,4260,4010
85,3300,3130,4260,4010
86,3290,3140,4260,4010
87,3290,3150,4250,4010
88,3300,3140,4250,4010
89,3300,3150,4300,4010
90,3320,3130,4320,4010
91,3320,3140,4340,4000
92,3320,3150,4340,4000
93,3320,3160,4330,4000
94,3310,3150,4022,3990
95,3310,3150,4021,3990
96,3310,3160,4020,3990
97,3300,3170,4330,4000
98,3320,3170,4290,4000
99,3310,3160,4240,4000
100,3310,3150,4210,4000
101,3300,3140,4190,4000
102,3300,3150,4180,4010
103,3300,3130,4210,4000
104,3300,3130,4220,4000
105,3290,3120,4230,4000
106,3310,3130,4220,4000
107,3300,3140,4220,4000
108,3310,3140,4220,4000
109,3320,3140,4250,4000
110,3310,3120,4290,4000
111,3300,3130,4310,4000
112,3290,3140,4330,4000
113,3290,3140,4018,4000
114,3300,3120,4017,4000
115,3320,3120,4015,4000
116,3310,3110,4014,4000
117,3310,3130,4013,4000
118,3300,3130,4011,4000
119,3290,3140,4010,4000
120,3300,3120,4008,4010
121,3300,3130,4007,4010
122,3290,3130,4005,4010
123,3300,3140,4003,4010
124,3290,3120,4003,4010
125,3290,3120,4003,4010
126,3330,3500,3880,4010
127,3330,3530,3880,4010
128,3320,3770,3870,4010
129,3320,3720,3860,4000
130,3300,3680,3860,4000
131,3300,3670,3860,4000
132,3300,3640,3860,4000
133,3290,3630,3860,4000
134,3290,3620,3870,4000
135,3300,3630,3870,3990
136,3320,3620,3880,3990
137,3310,3600,3880,3990
138,3330,3590,3880,4000
139,3330,3590,3890,4010
140,3320,3620,3890,4010
141,3320,3620,3890,4010
142,3310,3620,3900,4010
143,3310,3620,3910,4000
144,3310,3630,3900,4000
145,3310,3630,3890,3990
146,3320,3620,3880,3990
147,3320,3620,3880,4000
148,3320,3620,3900,4000
149,3320,3650,3900,3990
150,3320,3650,3900,3990
151,3320,3640,3890,3990
152,3320,3640,3900,3980
153,3320,3640,3890,3980
154,3320,3650,3880,3980
155,3310,3690,3870,3980
156,3300,3690,3880,3980
157,3300,3710,3880,3980
158,3300,3740,3870,3980
159,3300,3620,3870,3980
160,3320,3570,3870,3980
161,3320,3520,3880,3980
162,3310,3610,3890,3980
163,3310,3650,3880,3990
164,3310,3690,3880,3990
165,3300,3760,3880,3990
166,3300,3810,3880,3990
167,3320,3700,3890,3990
168,3320,3600,3890,3980
169,3310,3550,3880,3980
170,3310,3530,3880,3980
171,3310,3530,3870,3980
172,3330,3700,3880,3980
173,3310,3610,3870,3980
174,3310,3550,3870,3990
175,3310,3580,3880,3980
176,3300,3710,3890,3980
177,3300,3800,3880,3980
178,3300,3830,3880,3980
179,3300,3840,3880,3980
180,3310,3810,3890,3980
181,3300,3850,3880,3980
182,3300,3810,3880,3980
183,3300,3830,3880,3980
184,3300,3840,3870,3980
185,3320,3830,3870,3980
186,3330,3850,3870,3980
187,3309,3830,3870,3980
188,3330,3800,3870,3980
189,3320,3770,3870,3980
190,3320,3770,3870,3980
191,3310,3770,3870,3990
192,3300,3770,3870,3990
193,3290,3770,3880,3990
194,3309,3760,3900,3990
195,3309,3780,3890,3990
196,3309,3810,3880,3990
197,3290,3840,3890,3990
198,3290,3860,3880,3990
199,3290,3890,3870,4000
200,3300,3940,3870,4000
201,3290,4030,3880,4000
202,3290,3412,3890,4000
203,3320,3412,3890,3990
204,3310,3412,3880,3990
205,3290,3940,3880,4000
206,3290,3780,3870,4000
207,3320,3650,3870,3990
208,3320,3560,3880,4000
209,3300,3810,3890,4000
210,3300,3890,3880,3990
211,3300,3920,3880,3990
212,3300,3920,3870,4000
213,3310,3920,3870,4000
214,3310,3930,3870,4000
215,3300,3950,3870,3990
216,3300,3980,3870,3990
217,3300,4010,3870,3990
218,3300,4010,3890,3990
219,3310,4010,3880,3990
220,3300,3990,3890,3980
221,3310,4000,3880,3980
222,3300,4020,3870,3980
223,3310,3409,3880,3980
224,3310,3920,3880,3980
225,3310,3790,3870,3980
