Number,A0,A1,A2,A3
0,3890,3950,3280,3150
1,3880,3950,3280,3150
2,3870,3950,3290,3170
3,3870,3950,3290,3150
4,3870,3950,3290,3150
5,3880,3940,3290,3150
6,3890,3940,3280,3160
7,3890,3950,3280,3150
8,3890,3950,3290,3160
9,3890,3960,3290,3150
10,3875,3950,3280,3150
11,3880,3960,3280,3160
12,3880,3980,3280,3150
13,3870,3980,3290,3140
14,3870,3980,3300,3140
15,3870,3980,3300,3150
16,3890,3960,3300,3150
17,3890,3980,3300,3160
18,3875,3960,3290,3170
19,3890,3950,3280,3170
20,3890,3950,3280,3180
21,3890,3960,3290,3170
22,3890,3960,3290,3170
23,3890,3960,3280,3160
24,3890,3950,3280,3170
25,3890,3960,3290,3170
26,3880,3960,3300,3160
27,3880,3980,3300,3150
28,3870,3950,3300,3160
29,3870,3950,3300,3160
30,3870,3980,3290,3160
31,3870,3980,3290,3160
32,3880,3960,3280,3170
33,3870,3950,3280,3160
34,3860,3950,3290,3150
35,3875,3950,3280,3150
36,3870,3950,3280,3150
37,3870,3950,3290,3150
38,3870,3960,3290,3140
39,3870,3960,3280,3150
40,3860,3960,3280,3150
41,3860,3980,3290,3150
42,3870,3960,3290,3160
43,3880,3960,3280,3160
44,3890,3960,3270,3170
45,3880,3960,3287,3180
46,3890,3980,3280,3160
47,3880,3960,3270,3170
48,3890,3960,3280,3160
49,3880,3950,3280,3160
50,3870,3950,3290,3170
51,3870,3960,3280,3180
52,3870,3950,3280,3170
53,3870,3960,3280,3170
54,3880,3960,3280,3150
55,3890,3960,3280,3140
56,3880,3960,3280,3150
57,3880,3960,3290,3140
58,3870,3960,3290,3150
59,3870,3980,3280,3160
60,3890,3960,3270,3160
61,3880,3960,3280,3160
62,3880,3960,3280,3160
63,3880,3960,3280,3150
64,3870,3960,3280,3140
65,3880,3980,3280,3160
66,3880,3980,3280,3170
67,3870,3980,3280,3160
68,3870,3960,3280,3150
69,3880,3960,3270,3160
70,3870,3980,3270,3160
71,3870,3980,3280,3160
72,3870,3960,3290,3160
73,3870,3980,3290,3160
74,3870,3960,3280,3170
75,3870,3960,3280,3170
76,3870,3950,3270,3140
77,3870,3960,3270,3150
78,3870,3960,3280,3150
79,3870,3980,3300,3150
80,3870,3980,3300,3140
81,3870,3960,3290,3170
82,3870,3980,3290,3170
83,3880,3980,3280,3160
84,3890,3960,3290,3170
85,3890,3960,3290,3170
86,3880,3980,3280,3170
87,3870,3950,3290,3170
88,3860,3950,3290,3160
89,3860,3950,3300,3180
90,3870,3950,3300,3170
91,3870,3960,3290,3170
92,3890,3960,3280,3180
93,3880,3960,3280,3161
94,3870,3950,3290,3161
95,3870,3950,3300,3161
96,3870,3950,3300,3161
97,3870,3950,3300,3161
98,3870,3960,3300,3161
99,3870,3950,3300,3161
100,3870,3950,3290,3170
101,3870,3950,3300,3160
102,3870,3950,3300,3160
103,3870,3940,3290,3160
104,3870,3950,3290,3150
105,3870,3950,3280,3150
106,3870,3950,3280,3150
107,3880,3950,3290,3170
108,3870,3940,3280,3170
109,3880,3940,3290,3161
110,3870,3950,3290,3161
111,3870,3960,3290,3161
112,3870,3950,3300,3170
113,3870,3950,3300,3170
114,3870,3960,3300,3160
115,3870,3950,3300,3170
116,3880,3950,3300,3170
117,3880,3950,3290,3180
118,3880,3940,3290,3170
119,3880,3940,3280,3180
120,3880,3950,3290,3160
121,3880,3940,3290,3160
122,3880,3940,3280,3160
123,3890,3950,3270,3160
124,3880,3980,3270,3160
125,3880,3950,3280,3160
126,3880,3980,3280,3160
127,3880,3980,3280,3160
128,3880,3980,3290,3160
129,3870,3960,3280,3160
130,3870,3960,3290,3180
131,3860,3960,3290,3180
132,3860,3960,3300,3180
133,3870,3950,3300,3180
134,3880,3950,3300,3180
135,3870,3950,3300,3170
136,3860,3980,3300,3160
137,3870,3980,3300,3160
138,3870,3980,3300,3160
139,3870,3980,3300,3150
140,3870,3960,3300,3160
141,3870,3960,3300,3160
142,3870,3960,3300,3150
143,3880,3980,3300,3170
144,3880,3980,3290,3160
145,3870,3980,3300,3160
146,3890,3980,3290,3170
147,3880,3980,3300,3170
148,3880,3980,3300,3150
149,3880,3980,3300,3160
150,3870,3980,3300,3150
151,3880,3980,3300,3170
152,3880,3980,3290,3170
153,3880,3980,3290,3150
154,3880,3980,3280,3150
155,3890,3980,3270,3160
156,3880,3980,3287,3170
157,3890,3980,3270,3180
158,3880,3961,3270,3170
159,3870,3980,3280,3170
160,3870,3980,3290,3160
161,3860,3980,3300,3160
162,3860,3980,3300,3150
163,3860,3980,3290,3170
164,3860,3960,3290,3170
165,3870,3950,3280,3160
166,3880,3950,3280,3160
167,3880,3960,3280,3170
168,3880,3960,3280,3170
169,3880,3960,3270,3160
170,3870,3980,3270,3150
171,3880,3961,3280,3150
172,3870,3961,3290,3150
173,3870,3961,3290,3160
174,3890,3961,3290,3160
