Number,A0,A1,A2,A3
0.0,0.0,0.0,0.0,0.0
1.0,1515.3,3714.6,4684.5,5701.4
2.0,1512.6,3727.4,4687.3,5703.7
3.0,1512.3,3739.8,4685.9,5705.4
4.0,1511.2,3753.3,4684.9,5703.5
5.0,1510.2,3766.1,4682.7,5704.5
6.0,1510.9,3778.5,4682.2,5704.2
7.0,1512.7,3791.9,4681.7,5704.1
8.0,1512.3,3802.3,4681.5,5704.9
9.0,1511.9,3812.5,4681.2,5704.5
10.0,1506.3,3800.7,4676.9,5702.7
11.0,1509.9,3790.4,4672.5,5703.3
12.0,1509.9,3777.5,4672.0,5702.7
13.0,1509.9,3767.2,4671.8,5702.4
14.0,1510.0,3753.2,4672.7,5701.9
15.0,1510.0,3741.2,4674.6,5701.6
16.0,1508.3,3730.9,4685.9,5705.4
17.0,1508.4,3719.9,4692.6,5705.7
18.0,1508.5,3709.6,4698.9,5706.0
19.0,1508.7,3690.9,4710.2,5705.2
20.0,1508.9,3674.6,4734.2,5705.8
21.0,1508.9,3667.2,4749.4,5706.1
22.0,1509.0,3659.6,4763.0,5706.3
23.0,1509.1,3652.6,4775.0,5706.6
24.0,1509.2,3641.0,4794.4,5706.5
25.0,1509.3,3630.9,4810.0,5705.7
26.0,1511.2,3618.0,4821.4,5705.3
27.0,1512.3,3607.5,4824.0,5705.7
28.0,1512.8,3596.4,4827.3,5706.7
29.0,1512.3,3589.8,4840.7,5706.0
30.0,1512.5,3582.6,4830.4,5706.2
31.0,1512.9,3579.8,4845.9,5706.2
32.0,1513.2,3570.9,4857.2,5705.3
33.0,1514.4,3568.9,4868.6,5702.5
34.0,1515.1,3568.6,4879.3,5699.6
35.0,1514.4,3568.7,4889.9,5698.8
36.0,1512.6,3564.9,4875.5,5699.7
37.0,1511.6,3564.3,4864.9,5698.5
38.0,1510.8,3564.4,4854.7,5698.1
39.0,1511.9,3563.6,4841.7,5698.4
40.0,1510.9,3562.9,4855.6,5698.6
41.0,1510.8,3562.6,4869.9,5697.5
42.0,1511.9,3562.9,4881.8,5696.6
43.0,1512.9,3562.5,4893.4,5695.8
44.0,1513.4,3557.6,4880.6,5698.7
45.0,1514.1,3558.3,4870.4,5701.9
46.0,1514.6,3559.5,4859.5,5703.5
47.0,1515.2,3559.6,4845.9,5702.6
48.0,1513.7,3557.3,4857.7,5702.9
49.0,1513.7,3557.1,4871.5,5703.5
50.0,1513.6,3557.1,4882.0,5701.1
51.0,1512.0,3557.9,4892.4,5697.9
52.0,1510.8,3558.4,4902.9,5696.1
53.0,1510.5,3557.2,4913.4,5698.0
